OBJECTID,UNIT_COUNT,CNTY_FIPS,COUNTY,MSSA_ID,MSSA_NAME,DEFINITION,POPDENSITY,AREA_SQMI,POP,PCSA,PCSA_SCORE,PC_PHYS,PC_PHYS_R_CIV,POVScore,PHYSRatioScore,Shape__Area,Shape__Length
498,19,037,Los Angeles,78.2vv,Los Nietos/Santa Fe Springs Northeast,Urban,6730.71968155,0.28978884,23155,1,7,10,9199.6,2,5,0.00338220840558279,0.378346018293426
499,28,037,Los Angeles,78.2vvv,Diamond Bar/Industry East/Phillips Ranch/Pomona West/Walnut,Urban,2770.24271284,0.97372778,87242,0,3,73,1556.68493151,1,2,0.0105633470734574,0.615584542225465
500,32,037,Los Angeles,78.2w,Century City/Cheviot Hills/Rancho Park/West Los Angeles/Westwood,Urban,10795.80423185,0.14805855,121865,0,3,689,174.87082729,3,0,0.00309223212548204,0.401984060526089
501,20,037,Los Angeles,78.2ww,Pico Rivera/Santa Fe Springs Northwest,Urban,8271.35258897,0.45344954,11753,1,7,30,3371.33333333,2,5,0.00308523025591967,0.340582914226243
502,28,037,Los Angeles,78.2www,Valinda/West Covina,Urban,7206.19853516,0.34132143,49898,0,2,140,917.45714286,2,0,0.00444346163112641,0.436331113722801
503,34,037,Los Angeles,78.2x,Hancock Park/Mid-City West/Park La Brea,Urban,12680.66161795,0.3395744,102422,0,2,332,380.80722892,2,0,0.00248434614513826,0.309401548136255
504,25,037,Los Angeles,78.2xx,Agoura Hills/Calabasas/Hidden Hills/West Hills/Westlake,Urban,1203.23796795,16.25570654,103731,0,1,140,842.05,1,0,0.0246730709734493,1.13782748106975
505,21,037,Los Angeles,78.2xxx,Arcadia Central and Northeast/Bradbury/Monrovia/Sierra Madre,Urban,3734.38166224,1.82031864,73593,0,1,119,851.48739496,1,0,0.00684789141610054,0.455772032850623
506,25,037,Los Angeles,78.2y,Culver City North/Palms,Urban,11806.96339884,0.27278696,74327,0,4,52,1858.96153846,2,2,0.00208074385022883,0.303202310066477
507,21,037,Los Angeles,78.2yy,Encino/Tarzana/Warner Center/Woodland Hills,Urban,3440.22139204,0.97082243,75502,0,1,415,201.80722892,1,0,0.00604230402859685,0.442693679692071
508,27,037,Los Angeles,78.2yyy,Bassett/Industry West/La Puente,Urban,5096.09081066,4.04517101,22489,0,2,220,552.65909091,2,0,0.00594487273792765,0.625778185429761
509,21,037,Los Angeles,78.2z,Mar Vista/Ocean Park/Santa Monica South/Venice,Urban,12568.3278861,0.39126731,55465,0,3,55,1440.85454545,2,1,0.00158973748875724,0.320586012523526
510,25,037,Los Angeles,78.2zz,Northridge South/Reseda North,Urban,9204.48168794,0.50592433,49432,0,3,381.5,291.79030144,3,0,0.00304433971609797,0.379744942580669
511,23,037,Los Angeles,78.2zzz,Baldwin Park/Irwindale,Urban,5140.83491928,0.43290906,30131,0,2,113,932.08849558,2,0,0.00519455611083686,0.458639708822598
512,6,039,Madera,79.1,Oakhurst/Yosemite Lakes,Rural,19.22854339,21.97457568,24099,1,8,8.5,3097.88235294,3,5,0.363481401033368,3.48782834427585
513,3,039,Madera,79.2,Chowchilla,Rural,151.64126729,3.80786153,14074,1,10,4,3963.25,5,5,0.0411117554499469,1.02323803088457
514,9,007,Butte,8,Magalia/Paradise/Stirling City,Rural,170.51842425,1.47934437,37933,0,3,40,993.975,3,0,0.0651183979875896,1.94295961371385
515,14,039,Madera,80,Madera,Rural,163.99030059,0.68167761,30270,1,5,87,1173.47126437,4,1,0.161588559876236,2.73925461642438
516,5,041,Marin,81,Bolinas/Dillon Beach/Inverness/Point Reyes Station/Stinson Beach/Tomales,Rural,40.79862515,197.98317293,12588,0,2,11,1205.18181818,1,1,0.0910594230144852,3.67920087326393
517,13,041,Marin,82,Angel Island/Belvedere/Marin City/Sausalito/Strawberry Manor/Tiburon,Urban,769.24248238,0.58880636,50670,0,1,57,964.64912281,1,0,0.0187914601692682,1.54549819391319
518,17,041,Marin,83a,Corte Madera/Fairfax/Kentfield/Larkspur/Marinwood/Mill Valley/Ross/San Anselmo/San Rafael West/Terra Linda,Urban,1498.05655185,0.78067086,77743,0,1,220,371.14545455,1,0,0.015291404063646,1.49771650902957
519,20,041,Marin,83b,Bel Marin Keys/Black Point/Ignacio/Novato/San Rafael East/Santa Venetia,Urban,1830.60801133,0.9845711,75387,0,3,83,1224.74698795,2,1,0.0145278711884202,1.11544093309516
520,5,043,Mariposa,85,Bootjack/Cathey’s Valley/Coulterville/Don Pedro/El Portal/Fish Camp/Mariposa,Rural,15.16976363,293.28555808,14423,1,6,6,2592.16666667,2,4,0.281865902801201,2.95504951949999
521,1,043,Mariposa,86,Yosemite Valley,Frontier,4.72122069,395.23676675,1794,1,8,0,0,3,5,0.104597236130758,2.16232017917925
522,1,045,Mendocino,87.1,Boonville/Navarro/Philo/Yorkville,Rural,12.81035689,251.28105551,1667,1,5,2,1277,4,1,0.0677776050338252,2.40865270628942
523,2,045,Mendocino,87.2,Elk/Little River/Mendocino,Rural,39.59037402,77.79378718,6090,1,7,1,7043,2,5,0.0477168374795838,2.26701090003241
524,1,045,Mendocino,88,Anchor Bay/Gualala/Manchester/Point Arena,Rural,10.78523644,321.55066977,2620,0,3,3,1161,2,1,0.0864877674794116,1.87473290537503
525,3,045,Mendocino,89,Fort Bragg/Westport,Rural,63.91675938,1.44477938,8737,0,3,12,967,3,0,0.0510939214932478,1.47524135796481
526,4,007,Butte,9,Biggs/East Biggs/Gridley,Rural,68.64250106,11.50866124,8522,0,4,12,1175.83333333,3,1,0.054765641485119,1.15698718291828
527,1,045,Mendocino,90,Laytonville/Leggett/Piercy,Frontier,4.91482677,740.0057363,3111,1,6,3,1144,5,1,0.201520441210505,2.52179469428819
528,2,045,Mendocino,91,Brooktrails/Pine Mountain/Willits,Rural,40.82631836,286.60722979,11189,1,5,9.5,1323.78947368,4,1,0.080473581334445,2.25997507144683
529,1,045,Mendocino,92,Covelo/Dos Rios,Frontier,3.3876374,778.41861041,2115,1,5,3,801,5,0,0.211895378929967,2.31164429392689
530,5,045,Mendocino,93.1,Ukiah,Rural,116.73739929,2.03254889,19533,0,4,44.5,619.50561798,4,0,0.0659505199646446,2.06821139560669
531,1,045,Mendocino,93.2,Redwood Valley,Rural,86.65535042,70.49766656,5356,0,3,6,1107.5,2,1,0.0190714038908482,0.917212879121038
532,1,045,Mendocino,93.3,Potter Valley,Rural,18.48300381,120.32676198,1740,1,6,1,2144,3,3,0.0325688544307923,1.20905906994092
533,1,045,Mendocino,93.4,Talmage,Rural,64.28576285,69.98439157,3565,1,6,1,4449,1,5,0.0188886019273014,0.864191222213773
534,1,045,Mendocino,93.5,Hopland,Frontier,8.00077128,253.72553837,1557,1,8,0,0,3,5,0.0682718689531612,1.82712591093994
535,8,047,Merced,94,Dos Palos/Gustine/Los Banos,Rural,61.96289276,2.06041793,19011,1,7,32,1833.78125,5,2,0.24568254110045,2.5481047268726
536,8,047,Merced,95,Ballico/Cressey/Delhi/Hilmar/Livingston,Rural,211.12582616,9.40736822,16669,1,8,9.5,4259.47368421,3,5,0.0502966442691104,1.229942812377
537,11,047,Merced,96,Atwater/Snelling/Winton,Rural,183.36260786,2.65571523,24309,1,9,15,3373.86666667,4,5,0.0742629820724687,1.41338981841126
538,14,047,Merced,97.1,Merced Central and North/Merced Southeast,Urban,1448.85039525,8.43876204,43923,1,5,84,895.10714286,5,0,0.0133502829430654,0.674493577625091
539,6,047,Merced,97.2,El Nido/Merced Southwest,Rural,88.54722876,2.53784161,9100,1,5,45,558.71111111,5,0,0.0798650898163942,1.64706354732633
540,2,047,Merced,97.3,Le Grand/Planada,Rural,38.98915476,102.45122075,1327,1,10,2.5,3158,5,5,0.0565826245815515,1.20443942218606
541,2,049,Modoc,98,Alturas/Canby,Frontier,2.35732924,2544.98007726,5512,1,6,4,1554.25,4,2,0.715124384287719,4.47085412526025
542,1,049,Modoc,99,Surprise Valley,Frontier,1.77763124,691.36948594,1024,0,4,1,1052,3,1,0.193386954979815,2.39976689775938
