OBJECTID,UNIT_COUNT,CNTY_FIPS,COUNTY,MSSA_ID,MSSA_NAME,DEFINITION,POPDENSITY,AREA_SQMI,POP,PCSA,PCSA_SCORE,PC_PHYS,PC_PHYS_R_CIV,POVScore,PHYSRatioScore,Shape__Area,Shape__Length
387,10,029,Kern,60,Delano/McFarland,Urban,306.51064909,1.80792001,15474,1,7,31,1938.61290323,5,2,0.0580982441260858,1.06849033158884
388,8,029,Kern,61,Arvin/Lamont/Weed Patch,Rural,218.67201227,34.46275175,3892,1,10,10,4368.8,5,5,0.0507172717002504,1.11273218576575
389,7,029,Kern,62,Bear Valley Springs/Keene/Stallion Springs/Tehachapi,Rural,27.62449486,5.93460223,26048,1,5,14.5,2086.62068966,2,3,0.339385400508036,3.12023044007224
390,3,029,Kern,63,Alta Sierra/Bodfish/Glennville/Kernville/Lake Isabella/Weldon/Wofford Heights,Frontier,8.96724942,962.10942689,14431,1,10,5,3063.2,5,5,0.433719457136249,4.1220439302637
391,6,029,Kern,64,Inyokern/Ridgecrest,Rural,85.53874224,2.03864018,29766,0,3,35,994.62857143,3,0,0.103127772149037,1.65993429451881
392,9,029,Kern,65,Boron/California City/Desert Lake/Mojave/North Edwards/Rosamond,Rural,31.0982444,22.77805686,29374,1,9,2,21316.5,4,5,0.360795221994067,3.08058469674551
393,21,029,Kern,66a,Bakersfield Northeast/Oildale,Urban,627.87637415,1.0975318,62656,0,4,199,536.9798995,4,0,0.0432203879081499,1.31935357012798
394,24,029,Kern,66b,Bakersfield East/Lakeview/La Loma,Urban,3675.47676864,1.03329319,38446,1,9,49,2917.87755102,5,4,0.00983974156997647,0.449317537035919
395,22,029,Kern,66c,Bakersfield Southwest,Urban,809.86170496,0.63769699,82109,1,8,22,7359.59090909,3,5,0.0499664735125407,1.15081212048162
396,23,029,Kern,66d,Bakersfield Northwest/Rosedale,Urban,1555.43903135,1.26703668,88750,0,1,211,571.06161137,1,0,0.0192416446416246,0.681701888837992
397,2,031,Kings,67,Avenal,Rural,49.09700185,304.74813657,3027,1,7,4.5,1970.88888889,5,2,0.0790046481442914,1.23469611992164
398,6,031,Kings,68,Corcoran/Kettleman City/Stratford,Rural,43.95441065,1.97546889,10228,1,7,9.5,1944.42105263,5,2,0.175631344554404,1.85973458572347
