,FIPS,County,State,Lat,Long,Ticks_With_Lyme,Cases2019
92,2261.0,Valdez-Cordova Census Area,Alaska,61.562,-144.4686,0,0
93,2275.0,Wrangell City and Borough,Alaska,56.3317,-132.0223,0,0
94,2282.0,Yakutat City and Borough,Alaska,59.8889,-140.3577,0,0
95,2290.0,Yukon-Koyukuk Census Area,Alaska,65.5086,-151.3896,0,0
96,4001.0,Apache County,Arizona,35.3955,-109.4888,0,0
97,4003.0,Cochise County,Arizona,31.8796,-109.7512,0,2
98,4005.0,Coconino County,Arizona,35.8387,-111.7705,0,0
99,4007.0,Gila County,Arizona,33.7997,-110.8117,0,0
100,4009.0,Graham County,Arizona,32.9326,-109.8875,0,0
101,4011.0,Greenlee County,Arizona,33.2152,-109.2402,0,0
102,4012.0,La Paz County,Arizona,33.7294,-113.9816,0,0
103,4013.0,Maricopa County,Arizona,33.349,-112.4915,0,1
104,4015.0,Mohave County,Arizona,35.7041,-113.758,0,0
105,4017.0,Navajo County,Arizona,35.3997,-110.3214,0,0
106,4019.0,Pima County,Arizona,32.0974,-111.7899,0,7
107,4021.0,Pinal County,Arizona,32.9044,-111.3448,0,0
108,4023.0,Santa Cruz County,Arizona,31.5259,-110.8465,0,0
109,4025.0,Yavapai County,Arizona,34.5999,-112.554,0,0
110,4027.0,Yuma County,Arizona,32.7695,-113.9056,0,0
111,5001.0,Arkansas County,Arkansas,34.2908,-91.3749,0,0
112,5003.0,Ashley County,Arkansas,33.1912,-91.7685,0,0
113,5005.0,Baxter County,Arkansas,36.2872,-92.337,0,0
114,5007.0,Benton County,Arkansas,36.3387,-94.2561,0,0
115,5009.0,Boone County,Arkansas,36.3086,-93.0915,0,0
116,5011.0,Bradley County,Arkansas,33.4664,-92.1624,0,0
117,5013.0,Calhoun County,Arkansas,33.558,-92.503,0,0
118,5015.0,Carroll County,Arkansas,36.341,-93.5382,0,0
119,5017.0,Chicot County,Arkansas,33.2672,-91.294,0,0
120,5019.0,Clark County,Arkansas,34.051,-93.1764,0,0
121,5021.0,Clay County,Arkansas,36.3683,-90.4175,0,0
122,5023.0,Cleburne County,Arkansas,35.5381,-92.0267,0,0
123,5025.0,Cleveland County,Arkansas,33.8984,-92.1852,0,1
124,5027.0,Columbia County,Arkansas,33.2143,-93.2273,0,0
125,5029.0,Conway County,Arkansas,35.2622,-92.7013,0,1
126,5031.0,Craighead County,Arkansas,35.8308,-90.6328,0,0
127,5033.0,Crawford County,Arkansas,35.5885,-94.2429,0,0
128,5035.0,Crittenden County,Arkansas,35.2079,-90.3089,0,0
129,5037.0,Cross County,Arkansas,35.2957,-90.7712,0,0
130,5039.0,Dallas County,Arkansas,33.9698,-92.6544,0,0
131,5041.0,Desha County,Arkansas,33.8333,-91.254,0,0
132,5043.0,Drew County,Arkansas,33.5895,-91.72,0,0
133,5045.0,Faulkner County,Arkansas,35.147,-92.332,0,1
134,5047.0,Franklin County,Arkansas,35.5123,-93.8906,0,0
135,5049.0,Fulton County,Arkansas,36.3817,-91.8182,0,0
136,5051.0,Garland County,Arkansas,34.5767,-93.1504,0,0
137,5053.0,Grant County,Arkansas,34.29,-92.4236,0,0
138,5055.0,Greene County,Arkansas,36.1176,-90.559,0,1
139,5057.0,Hempstead County,Arkansas,33.7353,-93.6685,0,0
140,5059.0,Hot Spring County,Arkansas,34.3176,-92.946,0,0
141,5061.0,Howard County,Arkansas,34.0888,-93.9935,0,0
142,5063.0,Independence County,Arkansas,35.7415,-91.5697,0,0
143,5065.0,Izard County,Arkansas,36.0949,-91.9134,0,0
144,5067.0,Jackson County,Arkansas,35.5992,-91.2145,0,0
145,5069.0,Jefferson County,Arkansas,34.2688,-91.9315,0,0
146,5071.0,Johnson County,Arkansas,35.5701,-93.4599,0,2
147,5073.0,Lafayette County,Arkansas,33.2409,-93.6071,0,0
148,5075.0,Lawrence County,Arkansas,36.0412,-91.1071,0,1
149,5077.0,Lee County,Arkansas,34.7806,-90.7821,0,0
150,5079.0,Lincoln County,Arkansas,33.9575,-91.7333,0,0
151,5081.0,Little River County,Arkansas,33.7005,-94.2343,0,0
152,5083.0,Logan County,Arkansas,35.2153,-93.7162,0,0
153,5085.0,Lonoke County,Arkansas,34.7542,-91.8888,0,0
154,5087.0,Madison County,Arkansas,36.011,-93.7245,0,0
155,5089.0,Marion County,Arkansas,36.2684,-92.6842,0,0
156,5091.0,Miller County,Arkansas,33.3121,-93.8916,0,0
157,5093.0,Mississippi County,Arkansas,35.7638,-90.0542,0,0
158,5095.0,Monroe County,Arkansas,34.6778,-91.2039,0,0
159,5097.0,Montgomery County,Arkansas,34.5388,-93.6596,0,2
160,5099.0,Nevada County,Arkansas,33.664,-93.3072,0,0
161,5101.0,Newton County,Arkansas,35.92,-93.2179,0,0
162,5103.0,Ouachita County,Arkansas,33.5934,-92.8819,0,0
163,5105.0,Perry County,Arkansas,34.9474,-92.9315,0,0
164,5107.0,Phillips County,Arkansas,34.4283,-90.848,0,0
165,5109.0,Pike County,Arkansas,34.1635,-93.6563,0,0
166,5111.0,Poinsett County,Arkansas,35.574,-90.663,0,0
167,5113.0,Polk County,Arkansas,34.4859,-94.2281,0,0
168,5115.0,Pope County,Arkansas,35.4476,-93.0342,0,0
169,5117.0,Prairie County,Arkansas,34.8298,-91.5528,0,0
170,5119.0,Pulaski County,Arkansas,34.77,-92.3119,0,3
171,5121.0,Randolph County,Arkansas,36.3415,-91.0277,0,0
172,5123.0,St. Francis County,Arkansas,35.022,-90.7478,0,0
173,5125.0,Saline County,Arkansas,34.6466,-92.6765,0,0
174,5127.0,Scott County,Arkansas,34.8608,-94.0633,0,0
175,5129.0,Searcy County,Arkansas,35.9109,-92.6996,0,0
