,FIPS,State,County,Mean_Rank,Worst_Best,Rank,Lat,Long,Ticks_With_Lyme,Cases2019,Population,%<18_Yrs_Old,%65_Yrs_Old_and_over,Income($),African American(Count),African American(%),American_Indian/Alaskan_Native(Count),American_Indian/Alaskan_Native(%),Asian(Count),Asian(%),Native_Hawaiian/Other_Pacific_Islander(Count),Native_Hawaiian/Other_Pacific_Islander(%),Hispanic(Count),Hispanic(%),Non-Hispanic_White(Count),Non-Hispanic_White(%),Female(%),Rural(Count),Rural(%),Life_Expectancy,Deaths(Count)
24,4015,Arizona,Mohave,10.375,Worst,7,35.7041,-113.758,0,0,207200,17.48,29.66,$42210.00,2180,1.05,6177,2.98,2525,1.22,514,0.25,34063,16.44,160395,77.41,49.59,45970.0,22.96,75.49,4715.0
25,4017,Arizona,Navajo,11.625,Worst,8,35.3997,-110.3214,0,0,108956,26.98,17.61,$40883.00,842,0.77,49896,45.79,744,0.68,125,0.11,12283,11.27,45404,41.67,49.98,58171.0,54.14,75.39,1704.0
26,4007,Arizona,Gila,11.75,Worst,9,33.7997,-110.8117,0,0,53501,20.31,28.17,$38897.00,311,0.58,9407,17.58,452,0.84,74,0.14,10021,18.73,33365,62.36,50.48,22008.0,41.06,73.82,1179.0
27,4001,Arizona,Apache,14.625,Worst,10,35.3955,-109.4888,0,0,71606,27.62,14.87,$33053.00,379,0.53,53677,74.96,309,0.43,26,0.04,4480,6.26,13002,18.16,50.61,52967.0,74.06,72.36,1304.0
28,5143,Arkansas,Washington,7.75,Best,1,35.9791,-94.2156,0,4,231996,24.56,11.49,$50400.00,7651,3.3,3598,1.55,6231,2.69,5551,2.39,39076,16.84,165508,71.34,50.02,51771.0,25.49,78.05,2421.0
29,5007,Arkansas,Benton,8.875,Best,2,36.3387,-94.2561,0,0,266300,26.57,13.19,$64728.00,4696,1.76,5147,1.93,10771,4.04,1602,0.6,44438,16.69,195249,73.32,50.33,55689.0,25.16,79.61,2531.0
30,5009,Arkansas,Boone,9.5,Best,3,36.3086,-93.0915,0,0,37381,22.59,20.39,$41770.00,146,0.39,315,0.84,243,0.65,30,0.08,923,2.47,35066,93.81,50.74,22953.0,62.2,76.71,614.0
31,5005,Arkansas,Baxter,9.875,Best,4,36.2872,-92.337,0,0,41355,17.71,30.85,$43011.00,136,0.33,306,0.74,200,0.48,23,0.06,976,2.36,39206,94.8,51.75,27333.0,65.84,76.6,807.0
32,5045,Arkansas,Faulkner,11.375,Best,5,35.147,-92.332,0,1,123654,23.29,12.12,$51535.00,14690,11.88,865,0.7,1574,1.27,89,0.07,5016,4.06,99219,80.24,51.12,43891.0,38.76,77.03,1439.0
33,5107,Arkansas,Phillips,66.25,Worst,6,34.4283,-90.848,0,0,18572,25.94,18.32,$27663.00,11475,61.79,69,0.37,90,0.48,1,0.01,371,2.0,6386,34.39,52.86,10436.0,47.97,71.56,418.0
34,5041,Arkansas,Desha,71.0,Worst,7,33.8333,-91.254,0,0,11764,25.83,18.35,$33228.00,5421,46.08,46,0.39,65,0.55,17,0.14,793,6.74,5321,45.23,52.96,4087.0,31.42,71.91,265.0
35,5095,Arkansas,Monroe,64.0,Worst,8,34.6778,-91.2039,0,0,7085,21.19,23.08,$32427.00,2842,40.11,46,0.65,48,0.68,0,0.0,198,2.79,3842,54.23,53.14,5621.0,68.98,70.56,197.0
36,5017,Arkansas,Chicot,65.75,Worst,9,33.2672,-91.294,0,0,10636,22.25,19.61,$31810.00,5669,53.3,49,0.46,75,0.71,4,0.04,573,5.39,4210,39.58,49.92,6405.0,54.28,73.58,235.0
37,5093,Arkansas,Mississippi,68.0,Worst,10,35.7638,-90.0542,0,0,42159,26.28,14.47,$39678.00,14974,35.52,183,0.43,207,0.49,14,0.03,1816,4.31,24480,58.07,51.36,16857.0,36.27,71.53,959.0
38,6041,California,Marin,3.125,Best,1,38.0734,-122.7234,1,8,260955,20.11,21.62,$112735.00,6421,2.46,2637,1.01,16713,6.4,680,0.26,42077,16.12,187011,71.66,51.14,16457.0,6.52,85.11,1834.0
39,6061,California,Placer,5.625,Best,2,39.0635,-120.7175,0,0,386166,22.33,19.1,$81366.00,6163,1.6,4145,1.07,29693,7.69,1019,0.26,54239,14.05,280820,72.72,51.23,48039.0,13.79,82.03,3496.0
40,6081,California,San Mateo,6.0,Best,3,37.4229,-122.329,0,3,771410,20.78,15.78,$115908.00,17598,2.28,6315,0.82,228484,29.62,11922,1.55,188954,24.49,302885,39.26,50.68,13586.0,1.89,84.48,4882.0
41,6075,California,San Francisco,7.5,Best,4,37.7562,-122.443,0,14,884363,13.44,15.37,$109601.00,44295,5.01,6622,0.75,317249,35.87,3975,0.45,134705,15.23,357982,40.48,49.04,0.0,0.0,83.55,6907.0
42,6085,California,Santa Clara,7.5,Best,5,37.2318,-121.6951,1,6,1938153,22.19,13.14,$118468.00,45518,2.35,23644,1.22,727767,37.55,8981,0.46,496020,25.59,612156,31.58,49.47,19307.0,1.08,84.38,11654.0
43,6047,California,Merced,49.0,Worst,6,37.1919,-120.7177,0,0,272673,29.57,11.07,$48036.00,8059,2.96,6789,2.49,21884,8.03,1033,0.38,162489,59.59,75467,27.68,49.51,36510.0,14.27,78.58,2710.0
44,6019,California,Fresno,49.125,Worst,7,36.7582,-119.6493,0,1,989255,28.47,11.98,$51452.00,45968,4.65,29375,2.97,108345,10.95,2713,0.27,525935,53.16,291414,29.46,50.11,100537.0,10.81,79.04,9841.0
45,6033,California,Lake,50.625,Worst,8,39.0996,-122.7532,0,2,64246,20.74,22.36,$45797.00,1163,1.81,2739,4.26,887,1.38,194,0.3,13209,20.56,45289,70.49,50.21,21408.0,33.11,74.54,1465.0
46,6107,California,Tulare,52.5,Worst,9,36.2201,-118.8005,0,8,464493,30.94,11.12,$46377.00,5698,1.23,12884,2.77,18496,3.98,1059,0.23,300647,64.73,132630,28.55,49.95,68449.0,15.48,78.37,4659.0
47,6029,California,Kern,53.75,Worst,10,35.3429,-118.7299,0,0,893119,29.01,10.67,$49904.00,46388,5.19,23478,2.63,47882,5.36,2483,0.28,477237,53.43,304098,34.05,48.72,85693.0,10.21,77.57,9916.0
48,8035,Colorado,Douglas,5.25,Best,1,39.3297,-104.9296,0,0,335299,26.61,11.39,$112386.00,4341,1.29,1605,0.48,16490,4.92,326,0.1,29218,8.71,276885,82.58,50.11,29367.0,10.29,83.97,1729.0
