FIPS,Lifespan_Rank,Life_Quality_Rank,Health_Behaviors_Rank,Clinical_Care_Rank,Social_Economic_Factors_Rank,Physical_Environment_Rank,Lyme_Disease_Incidence_Reported,Population,%<18_Yrs_Old,%65_Yrs_Old_and_over,Income($),African_American(Count),African_American(%),American_Indian/Alaskan_Native(Count),American_Indian/Alaskan_Native(%),Asian(Count),Asian(%),Native_Hawaiian/Other_Pacific_Islander(Count),Native_Hawaiian/Other_Pacific_Islander(%),Hispanic(Count),Hispanic(%),Non-Hispanic_White_(Count),Non-Hispanic_White(%),Female(%),Rural(Count),Rural(%),Life_Expectancy,Deaths(Count)
8045,15,20,25,38,27,56,0.0,59118.0,25.37,12.43,718.97,382.0,0.65,990.0,1.67,535.0,0.9,94.0,0.16,16908.0,28.6,40266.0,68.11,49.05,13592.0,24.1,80.68,491.0
8047,6,32,17,14,6,42,0.0,6013.0,16.0,15.58,796.36,52.0,0.86,76.0,1.26,97.0,1.61,17.0,0.28,426.0,7.08,5271.0,87.66,47.28,5441.0,100.0,84.53,62.0
8049,23,23,24,28,13,2,0.0,15321.0,17.13,16.89,612.41,117.0,0.76,125.0,0.82,151.0,0.99,24.0,0.16,1296.0,8.46,13459.0,87.85,46.58,12260.0,82.6,83.11,120.0
8051,16,39,23,22,9,18,0.0,16939.0,17.07,12.66,534.8,100.0,0.59,430.0,2.54,145.0,0.86,7.0,0.04,1564.0,9.23,14770.0,87.2,45.92,8981.0,58.61,81.95,128.0
8055,60,49,30,25,60,17,0.0,6662.0,16.03,31.49,374.24,39.0,0.59,352.0,5.28,64.0,0.96,18.0,0.27,2298.0,34.49,4081.0,61.26,48.93,3768.0,56.15,74.55,139.0
8059,13,4,14,6,22,59,1.0,574613.0,20.01,16.05,805.62,6293.0,1.1,6853.0,1.19,16988.0,2.96,697.0,0.12,88334.0,15.37,450122.0,78.33,50.14,36864.0,6.9,80.75,5428.0
8063,8,25,38,57,29,31,0.0,7158.0,25.37,19.14,440.28,47.0,0.66,81.0,1.13,52.0,0.73,14.0,0.2,1314.0,18.36,5624.0,78.57,49.89,4027.0,48.69,81.54,72.0
8065,44,43,26,23,39,8,0.0,7778.0,21.12,13.38,497.99,47.0,0.6,203.0,2.61,55.0,0.71,4.0,0.05,2812.0,36.15,4687.0,60.26,46.01,2271.0,31.07,80.56,72.0
8067,17,15,9,10,19,37,0.0,55589.0,19.12,16.47,619.74,242.0,0.44,4122.0,7.42,417.0,0.75,44.0,0.08,7134.0,12.83,43678.0,78.57,49.55,30774.0,59.95,82.01,497.0
8069,10,6,8,5,20,54,0.0,343976.0,19.89,15.12,694.43,3222.0,0.94,3466.0,1.01,8314.0,2.42,335.0,0.1,39371.0,11.45,284658.0,82.76,50.07,34938.0,11.66,81.38,2837.0
8071,59,46,43,53,53,32,0.0,14238.0,18.87,23.7,395.52,229.0,1.61,512.0,3.6,159.0,1.12,19.0,0.13,5950.0,41.79,7559.0,53.09,47.8,6326.0,40.79,75.44,269.0
8073,9,38,36,45,41,12,0.0,5546.0,20.12,17.78,453.08,275.0,4.96,78.0,1.41,60.0,1.08,4.0,0.07,766.0,13.81,4319.0,77.88,42.32,5467.0,100.0,80.36,57.0
8075,43,21,52,31,34,40,0.0,21896.0,18.49,17.19,502.46,784.0,3.58,368.0,1.68,257.0,1.17,24.0,0.11,3522.0,16.09,16890.0,77.14,44.24,6621.0,29.16,78.54,278.0
8077,40,41,50,17,50,53,0.0,151616.0,21.79,18.42,526.23,1054.0,0.7,2313.0,1.53,1482.0,0.98,194.0,0.13,22078.0,14.56,123432.0,81.41,50.54,18599.0,12.68,78.69,1906.0
8081,46,30,44,42,38,10,0.0,13131.0,25.81,14.84,576.8,85.0,0.65,219.0,1.67,90.0,0.69,13.0,0.1,2062.0,15.7,10559.0,80.41,48.56,3774.0,27.36,79.87,174.0
8083,52,50,56,40,52,20,0.0,26140.0,22.4,21.32,486.92,100.0,0.38,3591.0,13.74,166.0,0.64,27.0,0.1,3302.0,12.63,18912.0,72.35,50.5,17155.0,67.18,78.39,357.0
8085,26,34,28,36,43,28,0.0,41784.0,21.99,22.62,510.31,187.0,0.45,771.0,1.85,354.0,0.85,63.0,0.15,8627.0,20.65,31805.0,76.12,50.71,18570.0,44.99,79.74,510.0
8087,50,29,51,37,30,41,0.0,28192.0,25.97,15.43,504.53,806.0,2.86,489.0,1.73,219.0,0.78,87.0,0.31,10237.0,36.31,16536.0,58.65,49.52,9165.0,32.55,77.75,369.0
8089,54,52,58,49,48,50,0.0,18326.0,23.95,19.98,379.07,179.0,0.98,684.0,3.73,165.0,0.9,38.0,0.21,7673.0,41.87,9909.0,54.07,50.84,6479.0,34.41,76.42,302.0
8091,27,33,10,8,16,5,0.0,4794.0,16.42,26.07,636.27,6.0,0.13,42.0,0.88,34.0,0.71,8.0,0.17,299.0,6.24,4349.0,90.72,49.29,4436.0,100.0,86.57,39.0
8093,37,17,21,34,23,19,0.0,17905.0,15.53,19.4,698.84,143.0,0.8,224.0,1.25,194.0,1.08,8.0,0.04,1092.0,6.1,15941.0,89.03,47.28,16206.0,100.0,81.82,179.0
8095,48,7,13,29,5,23,0.0,4292.0,24.32,22.2,520.96,27.0,0.63,50.0,1.16,25.0,0.58,4.0,0.09,914.0,21.3,3275.0,76.3,50.56,4442.0,100.0,79.67,56.0
8097,1,13,3,13,10,9,0.0,17890.0,15.23,18.47,785.96,171.0,0.96,85.0,0.48,331.0,1.85,21.0,0.12,1814.0,10.14,15328.0,85.68,47.95,7580.0,44.2,92.92,95.0
8099,41,40,53,60,36,43,0.0,12070.0,25.76,17.25,412.38,78.0,0.65,232.0,1.92,54.0,0.45,5.0,0.04,4593.0,38.05,7101.0,58.83,50.03,4755.0,37.89,76.93,168.0
8101,56,57,57,18,58,58,0.0,166475.0,22.72,18.04,440.6,3027.0,1.82,5209.0,3.13,1782.0,1.07,286.0,0.17,71585.0,43.0,86840.0,52.16,50.72,22513.0,14.15,76.95,2503.0
8103,36,11,18,33,31,7,0.0,6420.0,23.97,15.08,583.36,79.0,1.23,104.0,1.62,36.0,0.56,9.0,0.14,614.0,9.56,5455.0,84.97,48.79,6666.0,100.0,79.15,75.0
8105,55,48,22,50,51,16,0.0,11301.0,23.06,19.59,416.93,54.0,0.48,385.0,3.41,71.0,0.63,10.0,0.09,4980.0,44.07,5937.0,52.54,50.08,7493.0,62.54,76.78,172.0
8107,14,12,5,4,4,26,0.0,25220.0,18.24,14.48,765.05,200.0,0.79,150.0,0.59,207.0,0.82,23.0,0.09,1768.0,7.01,22637.0,89.76,47.81,10621.0,45.18,83.22,186.0
8109,45,59,45,58,59,13,0.0,6626.0,21.25,21.93,365.58,49.0,0.74,228.0,3.44,57.0,0.86,2.0,0.03,2392.0,36.1,3900.0,58.86,49.76,6108.0,100.0,80.45,85.0
8113,27,10,29,21,14,33,0.0,7967.0,17.59,13.58,704.18,40.0,0.5,102.0,1.28,67.0,0.84,5.0,0.06,823.0,10.33,6885.0,86.42,46.39,7359.0,100.0,97.97,47.0
8115,49,18,31,44,44,14,0.0,2344.0,20.56,25.43,398.8,15.0,0.64,24.0,1.02,27.0,1.15,4.0,0.17,353.0,15.06,1906.0,81.31,50.55,2379.0,100.0,77.74,41.0
8117,2,28,15,7,2,44,0.0,30585.0,16.09,12.91,754.2,305.0,1.0,236.0,0.77,362.0,1.18,34.0,0.11,4277.0,13.98,25245.0,82.54,46.21,5464.0,19.52,94.66,150.0
8119,51,22,19,27,33,46,0.0,24646.0,17.47,20.83,680.78,193.0,0.78,306.0,1.24,233.0,0.95,28.0,0.11,1563.0,6.34,21939.0,89.02,49.06,14618.0,62.6,80.63,319.0
